Meningitis,Alzheimer's Disease and Other Dementias,Parkinson's Disease,Nutritional Deficiencies,Malaria,Drowning,Interpersonal Violence,Maternal Disorders,HIV/AIDS,Tuberculosis,Cardiovascular Diseases,Lower Respiratory Infections,Neonatal Disorders,Self-harm,Diarrheal Diseases,Neoplasms,Diabetes Mellitus,Chronic Kidney Disease,Protein-Energy Malnutrition,Road Injuries,Chronic Respiratory Diseases,Cirrhosis and Other Chronic Liver Diseases,Digestive Diseases,Drug Use Disorders,Alcohol Use Disorders,Exposure to Forces of Nature,Environmental Heat and Cold Exposure,Conflict and Terrorism,Poisonings,"Fire, Heat, and Hot Substances",Acute Hepatitis
18,722,166,7,0,252,309,3,97,159,18379,473,78,691,4,5780,277,120,2,544,462,439,1071,66,350,0,262,0,59,250,3
7,102,19,0,0,27,32,6,4,33,1590,168,163,52,3,522,160,159,0,371,88,63,108,7,4,0,1,8,16,10,3
118,20,6,215,1001,42,29,102,157,737,719,794,599,50,1356,250,88,61,208,213,160,94,189,1,5,0,4,0,16,17,18
121,102,30,111,1016,33,55,124,1703,681,2031,800,824,135,550,961,412,246,103,419,301,333,513,6,14,0,7,2,22,28,14
1142,141681,31277,5934,0,3687,18086,1048,7200,956,929375,79227,11223,46011,11518,750419,75081,104364,5565,41792,218546,66816,127040,62871,14162,220,1365,2,1562,3683,129
409,111,42,453,2315,139,170,356,6188,2616,4531,2234,2018,332,3673,1831,642,415,425,1100,846,700,1140,12,34,0,20,32,63,78,48
5,14,5,8,12,3,11,6,0,20,271,110,45,4,13,142,15,49,7,21,79,48,64,1,2,0,0,0,1,1,2
2,2,2,3,0,5,4,2,0,9,84,21,19,9,14,26,13,6,3,9,22,7,14,0,0,0,0,0,0,1,1
31,2703,600,81,0,32,43,1,24,27,15330,2473,110,668,372,18488,1434,1133,48,294,4572,955,2684,198,817,0,14,0,10,75,2
9,61,20,59,39,67,150,26,212,78,2078,246,271,244,77,634,482,210,52,147,100,216,342,1,24,0,4,0,2,18,2
73,16679,3463,280,2,660,738,41,140,2980,69427,14692,600,14301,906,95571,11839,7306,104,6464,13919,9579,15917,108,955,0,289,0,199,553,26
3346,1052,390,1297,22623,663,747,3312,34764,7797,22200,19186,16951,1871,25310,10940,4186,3984,1225,5779,3865,3711,6297,55,151,0,130,17,411,552,507
499,1453,343,1187,4587,821,1136,1653,285,850,45318,6613,22400,1241,6902,10462,1435,2215,1122,10178,4825,2419,4231,188,65,0,37,3008,412,770,491
2033,7748,1508,1027,14,1443,2449,1396,18,4189,120734,26300,38458,3279,2896,56921,13871,11580,906,8396,18910,5169,9258,118,170,135,66,2529,726,596,1779
43,2520,686,15,0,285,117,5,37,244,45678,1893,500,439,10,23726,1154,2948,8,2350,2627,1748,2969,57,33,4,43,3,35,155,6
151,147,41,229,224,77,431,110,9968,1477,3355,1559,1020,259,949,1089,703,318,222,591,826,299,658,5,23,0,21,0,30,86,11
511,1574,371,1078,4537,843,1684,1646,289,913,49168,6532,20778,1362,6560,11338,1587,2409,1015,10824,5162,2519,4420,215,71,40,40,15117,429,804,478
295,3950,822,160,0,932,758,108,41,884,45162,4602,1146,4433,1014,18197,12920,5377,146,3283,13348,4291,5251,130,384,34,49,18,64,359,23
100,7122,1746,109,0,496,334,21,177,851,36171,11384,397,4184,130,50916,9350,6824,99,3798,8586,6557,10355,362,440,0,25,0,74,141,10
38,128,37,18,0,172,321,49,6,484,7582,884,980,611,78,3914,96,307,1,602,392,1209,1654,15,430,0,253,0,89,106,29
2,2,2,2,0,7,4,2,2,9,115,25,20,12,9,37,24,12,2,11,23,9,15,0,1,0,0,0,0,1,0
7,9,6,12,127,24,2,7,7,32,454,90,86,35,62,112,51,30,12,45,109,32,60,1,2,0,1,0,2,3,3
147,2306,391,75,0,1275,773,35,98,378,59682,1298,853,2341,56,19783,619,276,39,2506,6648,837,2467,131,1398,0,777,0,471,522,25
4451,628,189,2796,6416,602,992,3011,4788,7043,12638,19109,15805,879,30485,5530,1550,1646,2714,2357,2552,2616,4708,12,80,0,126,543,340,445,452
947,90,32,928,2435,260,207,649,5030,5749,4477,5159,4157,398,7370,1706,582,377,891,1513,1096,759,1451,6,38,0,33,4,110,125,131
